"time","speed","category","start_lat","start_lon","end_lat","end_lon","is_fixed","iri","distance","suspension"
"16:28:23 2017-February-14","28.34","POOR","19.98653127","105.63245092","19.98583163","105.63181347","true","10.89","102.22","HARD-MEDIUM"
"16:28:38 2017-February-14","25.24","POOR","19.98583163","105.63181347","19.98514897","105.63118265","true","9.05","100.35","HARD-MEDIUM"
"16:29:09 2017-February-14","18.36","POOR","19.98481709","105.63085726","19.9842651","105.63005545","true","8.13","103.81","HARD-MEDIUM"
"16:29:40 2017-February-14","19.39","POOR","19.9839623","105.62955924","19.98345607","105.62874821","true","7.07","101.71","HARD-MEDIUM"
"16:29:59 2017-February-14","20","POOR","19.98345607","105.62874821","19.98315395","105.62779619","true","6.48","105.1","HARD-MEDIUM"
"16:30:17 2017-February-14","20.27","POOR","19.98315395","105.62779619","19.98325445","105.62679137","true","7.42","105.75","HARD-MEDIUM"
"16:30:33 2017-February-14","23.51","POOR","19.98325445","105.62679137","19.98346521","105.6258267","true","6.81","103.62","HARD-MEDIUM"
"16:30:54 2017-February-14","17.43","FAIR","19.98346521","105.6258267","19.9837748","105.62487988","true","5.85","104.85","HARD-MEDIUM"
"16:31:50 2017-February-14","19.74","FAIR","19.98422042","105.62388863","19.98469815","105.62306075","true","5.3","101.51","HARD-MEDIUM"
"16:32:13 2017-February-14","16.91","POOR","19.98469815","105.62306075","19.98506854","105.62217998","true","7.02","100.89","HARD-MEDIUM"
"16:34:03 2017-February-14","19.57","FAIR","19.98405111","105.61984479","19.98443852","105.61893183","true","5.34","104.73","HARD-MEDIUM"
"16:34:21 2017-February-14","20.58","POOR","19.98443852","105.61893183","19.98480321","105.61802885","true","6.56","102.77","HARD-MEDIUM"
"16:34:37 2017-February-14","22.84","POOR","19.98480321","105.61802885","19.98516841","105.61713316","true","6.48","102.09","HARD-MEDIUM"
"16:34:53 2017-February-14","23.18","FAIR","19.98516841","105.61713316","19.98551195","105.61622045","true","5.75","102.81","HARD-MEDIUM"
"16:35:07 2017-February-14","26.29","POOR","19.98551195","105.61622045","19.98570695","105.61526776","true","7.82","102.01","HARD-MEDIUM"
"16:35:21 2017-February-14","27.65","POOR","19.98570695","105.61526776","19.98580942","105.61425137","true","7.86","106.97","HARD-MEDIUM"
"16:38:06 2017-February-14","18.24","POOR","19.98659983","105.60879517","19.98621649","105.60791541","true","9.96","101.38","HARD-MEDIUM"
"16:38:36 2017-February-14","24","POOR","19.98593917","105.60700044","19.98605572","105.60599268","true","8.87","106.25","HARD-MEDIUM"
"16:38:48 2017-February-14","31.41","POOR","19.98605572","105.60599268","19.98603963","105.60502793","true","9.11","100.98","HARD-MEDIUM"
"16:38:59 2017-February-14","33.37","POOR","19.98603963","105.60502793","19.98531904","105.60441781","true","7.86","102.18","HARD-MEDIUM"
"16:39:44 2017-February-14","29.78","POOR","19.98454522","105.60389478","19.98365108","105.6034476","true","6.55","109.49","HARD-MEDIUM"
